[14.01.2019 12:02:42] Configuring services.
[14.01.2019 12:02:44] Executing ModuleLoaderMiddleware
[14.01.2019 12:02:45] Copying module Bong.Portal to \bin
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Bong.Common.dll' already exists.
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Bong.Helpers.dll' already exists.
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Bong.Portal.dll' already exists.
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Bong.Routing.dll' already exists.
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Antiforgery.dll' already exists.
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.Abstractions.dll' already exists.
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.Cookies.dll' already exists.
[14.01.2019 12:02:45] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.Core.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.Facebook.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.Google.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.JwtBearer.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.MicrosoftAccount.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.OAuth.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.OpenIdConnect.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.Twitter.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authentication.WsFederation.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authorization.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Authorization.Policy.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Connections.Abstractions.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.CookiePolicy.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Cors.dll' already exists.
[14.01.2019 12:02:46] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Cryptography.Internal.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Cryptography.KeyDerivation.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.DataProtection.Abstractions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.DataProtection.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.DataProtection.Extensions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Diagnostics.Abstractions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Diagnostics.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.HostFiltering.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Hosting.Abstractions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Hosting.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Hosting.Server.Abstractions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Html.Abstractions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Http.Abstractions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Http.Connections.Common.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Http.Connections.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Http.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Http.Extensions.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Http.Features.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.HttpOverrides.dll' already exists.
[14.01.2019 12:02:47] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.HttpsPolicy.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Identity.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Identity.EntityFrameworkCore.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Identity.UI.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Identity.UI.Views.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.JsonPatch.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Localization.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Localization.Routing.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.MiddlewareAnalysis.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Abstractions.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.ApiExplorer.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Core.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Cors.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.DataAnnotations.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.dll' already exists.
[14.01.2019 12:02:48] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Formatters.Json.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Formatters.Xml.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Localization.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Razor.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.Razor.Extensions.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.RazorPages.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.TagHelpers.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Mvc.ViewFeatures.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.NodeServices.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Owin.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Razor.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Razor.Language.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Razor.Runtime.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.ResponseCaching.Abstractions.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.ResponseCaching.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.ResponseCompression.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Rewrite.dll' already exists.
[14.01.2019 12:02:49] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Routing.Abstractions.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Routing.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Server.HttpSys.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Server.IISIntegration.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Server.Kestrel.Core.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Server.Kestrel.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Server.Kestrel.Https.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Server.Kestrel.Transport.Abstractions.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.Session.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.SignalR.Common.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.SignalR.Core.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.SignalR.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.SignalR.Protocols.Json.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.SpaServices.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.SpaServices.Extensions.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.StaticFiles.dll' already exists.
[14.01.2019 12:02:50] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.WebSockets.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.AspNetCore.WebUtilities.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.CodeAnalysis.CSharp.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.CodeAnalysis.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.CodeAnalysis.Razor.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.DotNet.PlatformAbstractions.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.EntityFrameworkCore.Abstractions.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.EntityFrameworkCore.Design.dll' already exists.
[14.01.2019 12:02:51] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.EntityFrameworkCore.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.EntityFrameworkCore.InMemory.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.EntityFrameworkCore.Relational.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.EntityFrameworkCore.SqlServer.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Caching.Abstractions.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Caching.Memory.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Caching.SqlServer.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.Abstractions.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.Binder.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.CommandLine.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.EnvironmentVariables.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.FileExtensions.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.Ini.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.Json.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.KeyPerFile.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.UserSecrets.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Configuration.Xml.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.DependencyInjection.Abstractions.dll' already exists.
[14.01.2019 12:02:52] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.DependencyInjection.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.DependencyModel.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.DiagnosticAdapter.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.FileProviders.Abstractions.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.FileProviders.Composite.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.FileProviders.Embedded.dll' already exists.
